scenario,time_h,rainfall_mm_h,fs,wetness_index,suction_kpa,pore_pressure_kpa,crack_water_head_m
Cracked slope,76.75,0.0,1.4553540150845279,11.996955235797968,6.727016434770742,1.5514210116859046,0.44988582134242383
Cracked slope,77.0,0.0,1.4581431015878756,11.896980608832985,6.815016073216508,1.515992503255189,0.446136772831237
Cracked slope,77.25,0.0,1.4609291801582944,11.797839103759376,6.90341916005297,1.480859232394729,0.44241896639097655
Cracked slope,77.5,0.0,1.4637123680944126,11.699523777894715,6.992217967252056,1.4460187387914396,0.43873214167105185
Cracked slope,77.75,0.0,1.4664927787343833,11.60202774641226,7.081404726804277,1.4114685826348445,0.4350760404904598
Cracked slope,78.0,0.0,1.4692705214728945,11.505344181858824,7.170971633427652,1.3772063444462206,0.43145040681970587
Cracked slope,78.25,0.0,1.4720457017796327,11.409466313676667,7.260910847256649,1.3432296249091689,0.427854986762875
Cracked slope,78.5,0.0,1.4748184212191586,11.314387427729361,7.351214496509912,1.3095360447015922,0.4242895285398511
Cracked slope,78.75,0.0,1.4775887774721752,11.220100865831617,7.4418746801356725,1.276123244329079,0.42075378246868567
Cracked slope,79.0,0.0,1.4803568643581657,11.12660002528302,7.532883470433731,1.24298888395967,0.41724750094811325
Cracked slope,79.25,0.0,1.4831227718593583,11.033878358405662,7.624232915652954,1.2101306432600065,0.41377043844021233
Cracked slope,79.5,0.0,1.4858865861460033,10.941929372085616,7.715915042563255,1.17754622123284,0.41032235145321055
Cracked slope,79.75,0.0,1.4886483896029303,10.850746627318236,7.807921859001116,1.1452333360558997,0.4069029985244338
Cracked slope,80.0,0.0,1.4914082608573447,10.76032373875725,7.900245356387667,1.1131897249221008,0.40351214020339693
Cracked slope,80.25,0.0,1.4941662748078537,10.670654374267606,7.992877512218473,1.081413143881083,0.4001495390350352
Cracked slope,80.5,0.0,1.4969225026546709,10.581732254482043,8.085810292524142,1.0499013676820739,0.39681495954307666
Cracked slope,80.75,0.0,1.4996770119309852,10.49355115236136,8.17903565430096,1.0186521896180567,0.393508168213551
Cracked slope,81.0,0.0,1.5024298665354483,10.406104892758348,8.272545547910727,0.9876634213712394,0.390228933478438
Cracked slope,81.25,0.0,1.505181126765766,10.319387351985362,8.366331919449141,0.9569328928598129,0.38697702569945114
Cracked slope,81.5,0.0,1.5079308493533454,10.233392457385484,8.46038671308194,0.9264584520859809,0.3837522171519556
Cracked slope,81.75,0.0,1.5106790874989777,10.148114186907272,8.554701873348192,0.8962379649852643,0.38055428200902264
Cracked slope,82.0,0.0,1.513425890909516,10.063546568683044,8.649269347430089,0.8662693152770538,0.3773829963256141
Cracked slope,82.25,0.0,1.5161713058355284,9.979683680610686,8.744081087388677,0.8365504043164117,0.37423813802290073
Cracked slope,82.5,0.0,1.5189153751098756,9.89651964993893,8.83912905236494,0.8070791509471085,0.3711194868727099
Cracked slope,82.75,0.0,1.5216581381871985,9.814048652856107,8.934405210745746,0.7778534913558828,0.368026824482104
Cracked slope,83.0,0.0,1.5243996311842716,9.732264914082306,9.029901542294166,0.7488713789279171,0.3649599342780865
Cracked slope,83.25,0.0,1.5271398869211938,9.651162706464953,9.12561004024371,0.7201307841035178,0.3619186014924357
Cracked slope,83.5,0.0,1.5298789349633843,9.570736350577745,9.221522713356121,0.6916296942359882,0.3589026131466654
Cracked slope,83.75,0.0,1.5326168016643476,9.49098021432293,9.317631587942254,0.6633661134506881,0.35591175803710984
Cracked slope,84.0,0.0,1.5353535102091806,9.411888712536905,9.413928709845804,0.6353380625052658,0.35294582672013397
Cracked slope,84.25,0.0,1.5380890806587804,9.333456306599098,9.510406146389482,0.6075435786510553,0.3500046114974662
Cracked slope,84.5,0.0,1.5408235299947273,9.255677504044106,9.607055988283426,0.5799807154956302,0.347087906401654
Cracked slope,84.75,0.0,1.5435568721648094,9.178546858177071,9.703870351495555,0.5526475428664996,0.34419550718164016
Cracked slope,85.0,0.0,1.5462891181291536,9.102058967692262,9.800841379083659,0.5255421466759452,0.3413272112884598
Cracked slope,85.25,0.0,1.5490202759069283,9.026208476294826,9.897961242989053,0.498662628786979,0.33848281786105594
Cracked slope,85.5,0.0,1.5512133733343973,8.950990072325702,9.99522214579163,0.48671008518271003,0.3356621277122138
Cracked slope,85.75,0.0,1.553124237851291,8.876398488389654,10.092616322426146,0.4826541678061874,0.332864943314612
Cracked slope,86.0,0.0,1.5550397999751837,8.802428500986407,10.190136041859713,0.4786320497411358,0.33009106878699024
Cracked slope,86.25,0.0,1.556960019035435,8.729074930144854,10.287773608730328,0.47464344932662644,0.32734030988043206
Cracked slope,86.5,0.0,1.558884851861366,8.656332639060313,10.385521364946493,0.4706880872489046,0.3246124739647618
Cracked slope,86.75,0.0,1.5608142528322313,8.58419653373481,10.483371691247788,0.4667656865218302,0.3219073700150553
Cracked slope,87.0,0.0,1.5627481739274698,8.512661562620353,10.581317008726515,0.46287597246748174,0.3192248085982633
Cracked slope,87.25,0.0,1.5646865647771926,8.441722716265184,10.679349780310355,0.45901867269691937,0.3165646018599444
Cracked slope,87.5,0.0,1.5666293727128975,8.371375026962975,10.777462512206133,0.4551935170911118,0.3139265635111116
Cracked slope,87.75,0.0,1.5685765428183687,8.30161356840495,10.875647755304733,0.45140023778201915,0.3113105088151856
Cracked slope,88.0,0.0,1.570528017980746,8.232433455334908,10.97389810654729,0.4476385691338356,0.308716254575059
Cracked slope,88.25,0.0,1.5724837389417246,8.163829843207116,11.072206210252759,0.443908247724387,0.3061436191202669
Cracked slope,88.5,0.0,1.5744436443488743,8.095797927847057,11.170564759406986,0.4402090123266837,0.30359242229426464
Cracked slope,88.75,0.0,1.5764076708070371,8.028332945114999,11.26896649691348,0.43654060389062804,0.30106248544181247
Cracked slope,89.0,0.0,1.578375752929792,7.961430170572373,11.36740421680602,0.43290276552487283,0.298553631396464
Cracked slope,89.25,0.0,1.5803478233909445,7.8950849191509365,11.46587076542331,0.42929524247883216,0.2960656844681601
Cracked slope,89.5,0.0,1.5823238129760377,7.829292544824678,11.56435904254591,0.4257177821248419,0.29359847043092546
Cracked slope,89.75,0.0,1.5843036506338388,7.764048440284473,11.66286200249565,0.42217013394046815,0.2911518165106677
Cracked slope,90.0,0.0,1.586287263527788,7.699348036615436,11.761372655197809,0.4186520494909643,0.2887255513730788
Cracked slope,90.25,0.0,1.5882745770873903,7.635186802976974,11.859884067206277,0.41516328241187295,0.2863195051116365
Cracked slope,90.5,0.0,1.5902655150595144,7.571560246285499,11.958389362692037,0.411703588391774,0.2839335092357062
Cracked slope,90.75,0.0,1.5922599995595854,7.508463910899787,12.056881724395208,0.4082727251551759,0.281567396658742
Cracked slope,91.0,0.0,1.5942579511226442,7.445893378308955,12.155354394541,0.4048704524455494,0.2792210016865858
Cracked slope,91.25,0.0,1.5962592887542548,7.383844266823047,12.253800675719893,0.4014965320085032,0.2768941600058643
Cracked slope,91.5,0.0,1.598263929981235,7.322312231266189,12.352213931732354,0.39815072757509895,0.274586708672482
Cracked slope,91.75,0.0,1.6002717909021873,7.261292962672304,12.450587588398482,0.3948328048453064,0.27229848610021135
Cracked slope,92.0,0.0,1.602282786237822,7.200782187983368,12.548915134332887,0.3915425314715956,0.2700293320493763
Cracked slope,92.25,0.0,1.6042968293810294,7.140775669750173,12.64719012168524,0.3882796770426657,0.2677790876156315
Cracked slope,92.5,0.0,1.6063138324467026,7.081269205835588,12.745406166846827,0.3850440130673101,0.2655475952188346
Cracked slope,92.75,0.0,1.6083337063212872,7.022258629120292,12.843556951123507,0.38183531295841583,0.2633346985920109
Cracked slope,93.0,0.0,1.610356360712023,6.963739807210956,12.941636221375493,0.37865335201709566,0.2611402427704108
Cracked slope,93.25,0.0,1.6123817041958846,6.905708642150865,13.039637790624358,0.3754979074169533,0.25896407408065747
Cracked slope,93.5,0.0,1.6144096442681846,6.8481610701329405,13.13755553862768,0.3723687581884787,0.2568060401299853
Cracked slope,93.75,0.0,1.616440087390827,6.791093061215166,13.235383412421747,0.36926568520357467,0.25466598979556876
Cracked slope,94.0,0.0,1.6184729390402004,6.734500619038373,13.333115426832792,0.36618847116021147,0.25254377321393895
Cracked slope,94.25,0.0,1.6205081037546827,6.678379780546387,13.43074566495714,0.3631369005672098,0.25043924177048954
Cracked slope,94.5,0.0,1.6225454851817538,6.6227266157085,13.528268278610769,0.36011075972914974,0.24835224808906878
Cracked slope,94.75,0.0,1.624584986124693,6.567537227244263,13.625677488748702,0.35710983673140684,0.2462826460216599
Cracked slope,95.0,0.0,1.6266265085888518,6.512807750350561,13.722967585854722,0.35413392142531175,0.24423029063814605
Cracked slope,95.25,0.0,1.6286699538274805,6.458534352430973,13.820132930301819,0.3511828054134341,0.24219503821616145
Cracked slope,95.5,0.0,1.630715222387106,6.4047132328273815,13.917167952683902,0.3482562820349889,0.2401767462310268
Cracked slope,95.75,0.0,1.6327622141524338,6.35134062255382,14.0140671541192,0.3453541463513639,0.2381752733457682
Cracked slope,96.0,0.0,1.6348108283907783,6.2984127840325375,14.110825106525843,0.34247619513176925,0.23619047940122018
Vegetated slope,0.0,5.0,2.425028787092338,0.0,32.19718558584959,0.0,0.0
Vegetated slope,0.25,5.0,2.4108061457491434,0.10526315789473684,31.7687486542214,0.0,0.0
Vegetated slope,0.5,5.0,2.3970612253624894,0.2094035087719298,31.35093979320691,0.0,0.0
Vegetated slope,0.75,5.0,2.3837742732484437,0.31243302923976607,30.943450483814978,0.0,0.0
Vegetated slope,1.0,5.0,2.370926508844365,0.4143635681559454,30.54598318474282,0.0,0.0
Vegetated slope,1.25,5.0,2.3585000689120044,0.5152068479903521,30.15825088774063,0.0,0.0
Vegetated slope,1.5,5.0,2.3464779562025777,0.6149744661731918,29.779976692754605,0.0,0.0
Vegetated slope,1.75,5.0,2.334843991341582,0.713677896428748,29.4108934018704,0.0,0.0
Vegetated slope,2.0,5.0,2.3235827677097247,0.8113284900949116,29.050743131131558,0.0,0.0
Vegetated slope,2.25,5.0,2.3126796091133692,0.9079374774286361,28.699276939357055,0.0,0.0
Vegetated slope,2.5,5.0,2.3021205300534437,1.0035159688974675,28.356254473128477,0.0,0.0
Vegetated slope,2.75,5.0,2.29189219841618,1.098074956457298,28.02144362716156,0.0,0.0
Vegetated slope,3.0,5.0,2.2819819004221293,1.1916253148164904,27.694620219318033,0.0,0.0
Vegetated slope,3.25,5.0,2.2723775076820383,1.284177802686518,27.375567679553203,0.0,0.0
Vegetated slope,3.5,5.0,2.2630674462192952,1.3757430640192654,27.06407675213128,0.0,0.0
Vegetated slope,3.75,5.0,2.2540406673288587,1.4663316292311301,26.759945210475667,0.0,0.0
Vegetated slope,4.0,5.0,2.2452866201520507,1.5559539164140683,26.462977584054197,0.0,0.0
Vegetated slope,4.25,5.0,2.2367952258552246,1.6446202325337218,26.17298489673045,0.0,0.0
Vegetated slope,4.5,5.0,2.228556853308381,1.7323407746147657,25.889784416041778,0.0,0.0
Vegetated slope,4.75,5.0,2.2205622961671403,1.8191256309136117,25.61319941289235,0.0,0.0
Vegetated slope,5.0,5.0,2.2128027512683057,1.9049847820786032,25.34305893117588,0.0,0.0
Vegetated slope,5.25,5.0,2.20526979825557,1.989928102297835,25.079197566867514,0.0,0.0
Vegetated slope,5.5,5.0,2.19795538035768,2.073965360434728,24.821455256147868,0.0,0.0
Vegetated slope,5.75,5.0,2.1908517862467964,2.1571062211514946,24.569677072144408,0.0,0.0
Vegetated slope,6.0,24.0,2.1512815536726833,2.639360246020616,23.11177570455645,0.0,0.0
Vegetated slope,6.25,24.0,2.115885481467325,3.1164702279577994,21.757647621753826,0.0,0.0
Vegetated slope,6.5,24.0,2.084160035441703,3.58849103675432,20.49915301174581,0.0,0.0
Vegetated slope,6.75,24.0,2.0556691834446426,4.055476956923678,19.328851703420714,0.0,0.0
Vegetated slope,7.0,24.0,2.030034495448211,4.517481693944562,18.239938334238772,0.0,0.0
Vegetated slope,7.25,24.0,2.0069268185508244,4.974558380437224,17.226183930024465,0.0,0.0
Vegetated slope,7.5,24.0,1.9860592565260136,5.426759582273964,16.281883224800854,0.0,0.0
Vegetated slope,7.75,24.0,1.9671812334547831,5.874137304624445,15.401807122816018,0.0,0.0
Vegetated slope,8.0,24.0,1.9500734610125379,6.3167429979365215,14.581159770527709,0.0,0.0
Vegetated slope,8.25,24.0,1.9345436612267808,6.754627563853269,13.815539764375995,0.0,0.0
Vegetated slope,8.5,24.0,1.9204229225975324,7.187841361066905,13.1009050715931,0.0,0.0
Vegetated slope,8.75,24.0,1.907562588638852,7.616434211110262,12.433541286868829,0.0,0.0
